File,SceneCandidate,Title,SceneID,POV,Anchors,Tags,LimitBreak,Severity,Chronology,Notes
timelines/timeline.md,No,absent,absent,absent,absent,absent,absent,absent,absent,"Mermaid timeline; meta doc"
timelines/chain-diagram.md,No,absent,absent,absent,absent,absent,absent,absent,absent,"Weapon diagram; meta doc"
theme/prejudice-as-narrative.md,No,absent,absent,absent,absent,absent,absent,absent,absent,"Theme essay; not a scene"
README.md,No,absent,absent,absent,absent,absent,absent,absent,absent,"Project README"
structure/WRITING-GUIDELINES-PERSPECTIVE.md,No,example-only,example-only,example-only,example-only,example-only,absent,absent,absent,"Contains example frontmatter in a code block but not applied"
structure/VERIFICATION-CHECKLIST.md,No,absent,absent,absent,absent,absent,absent,absent,absent,"Checklist doc; tooling"
structure/SIDE-CHARACTER-MOMENTS.md,Yes,absent,absent,absent,absent,inline-tags,absent,absent,absent,"Micro-scene bank; many inline tags (e.g., [downtime]); Scene 22 (Naia) implies limit-break but lacks metadata"
structure/PRE-ACADEMY-TIMELINE.md,Yes,absent,absent,absent,absent,absent,absent,absent,absent,"Seed timeline; convert seed encounters to scene files"
structure/LIMIT-BREAKING-BACKLASH.md,No,absent,absent,absent,absent,absent,absent,absent,absent,"Specification doc"
structure/GOWR-PERSPECTIVE-METHOD.md,No,absent,absent,absent,absent,absent,absent,absent,absent,"Method doc"
structure/CHARACTER-INTERACTION-SPREADSHEET.md,No,absent,absent,absent,absent,absent,absent,absent,absent,"Spreadsheet template"
structure/CHARACTER-INTERACTION-MATRIX.md,No,absent,absent,absent,absent,absent,absent,absent,absent,"Relationship matrix"
story-overview.md,No,absent,absent,absent,absent,absent,absent,absent,absent,"Master story overview"
magic-system/telekinesis-core.md,No,absent,absent,absent,absent,absent,absent,absent,absent,"Magic system doc"
audits/SIDE-CHARACTER-MOMENTS-audit.md,No,absent,absent,absent,absent,absent,absent,absent,absent,"Audit file"
audits/PRE-ACADEMY-TIMELINE-audit.md,No,absent,absent,absent,absent,absent,absent,absent,absent,"Audit file"
characters/main/aisen.md,No,absent,absent,absent,absent,absent,absent,absent,absent,"Character profile"
characters/mentors/guard-mentor.md,No,absent,absent,absent,absent,absent,absent,absent,absent,"Mentor profile"
characters/mentors/cleric-mentor.md,No,absent,absent,absent,absent,absent,absent,absent,absent,"Mentor profile"
