Texto;Tipo
"This content isn't available.Learn more about Power BI.Microsoft Power BI1of0";"dados_extraidos"
"This content isn't available.Learn more about Power BI.Microsoft Power BI1of0";"dados_extraidos"
"This content isn't available.Learn more about Power BI.Microsoft Power BI1of0";"dados_extraidos"
"This content isn't available.Learn more about Power BI.";"dados_extraidos"
"This content isn't available.";"dados_extraidos"
"Learn more about Power BI.";"dados_extraidos"
"Microsoft Power BI1of0";"dados_extraidos"
"Microsoft Power BI1of0";"dados_extraidos"
"Microsoft Power BI1of0";"dados_extraidos"
"Microsoft Power BI1of0";"dados_extraidos"
"Microsoft Power BI";"dados_extraidos"
